,type,ms,x,y,color,rot,wEndms,x2,y2
0,0,6142,2,2,0,0,-2,-1,-1
1,0,5476,2,0,3,-180,725,0,0
2,0,4809,2,0,0,0,-2,-1,-1
3,0,4142,2,1,1,0,-2,-1,-1
4,0,26476,0,0,2,0,-2,-1,-1
5,0,27476,1,1,0,-90,-2,-1,-1
6,0,27476,2,2,2,0,-2,-1,-1
7,0,5476,2,3,1,0,-2,-1,-1
8,0,29976,2,2,1,0,-2,-1,-1
9,0,29476,2,1,0,0,-2,-1,-1
10,0,31476,1,1,1,-180,-2,-1,-1
11,0,31476,1,2,0,-180,-2,-1,-1
12,0,2809,2,3,1,0,-2,-1,-1
13,0,3476,2,2,0,0,-2,-1,-1
14,0,2142,2,0,0,0,-2,-1,-1
15,0,1476,2,1,1,0,-2,-1,-1
16,0,6809,2,0,3,-180,1068,0,0
17,0,9476,2,2,1,0,-2,-1,-1
18,0,10809,0,3,1,-135,-2,-1,-1
19,0,8309,2,1,0,0,-2,-1,-1
20,0,28142,2,2,1,0,-2,-1,-1
21,0,8142,2,2,1,0,-2,-1,-1
22,0,26476,0,3,2,0,-2,-1,-1
23,0,11476,0,0,0,135,-2,-1,-1
24,0,27476,1,2,1,90,-2,-1,-1
25,0,7476,2,1,0,0,-2,-1,-1
26,0,6809,2,3,3,-180,1068,0,3
27,0,10142,2,1,0,0,-2,-1,-1
28,0,27476,2,0,2,0,-2,-1,-1
29,0,6809,2,2,1,0,-2,-1,-1
30,0,27476,2,3,2,0,-2,-1,-1
31,0,27476,2,1,2,0,-2,-1,-1
32,1,21476,2,1,2,0,-2,-1,-1
33,0,22142,1,2,0,0,-2,-1,-1
34,0,15476,2,2,0,0,-2,-1,-1
35,1,22142,2,2,0,0,-2,-1,-1
36,0,14809,2,1,1,0,-2,-1,-1
37,1,22142,2,1,1,0,-2,-1,-1
38,0,18142,0,1,0,-180,-2,-1,-1
39,0,22142,1,1,1,0,-2,-1,-1
40,0,17476,0,2,1,-180,-2,-1,-1
41,0,16809,2,1,0,0,-2,-1,-1
42,1,21476,1,3,2,0,-2,-1,-1
43,1,21476,1,2,2,0,-2,-1,-1
44,0,19476,0,1,0,-180,-2,-1,-1
45,1,21476,1,1,2,0,-2,-1,-1
46,0,19476,0,2,1,-180,-2,-1,-1
47,1,21476,1,0,2,0,-2,-1,-1
48,1,21476,2,0,2,0,-2,-1,-1
49,0,19142,2,1,0,0,-2,-1,-1
50,0,20142,1,1,0,0,-2,-1,-1
51,0,18809,2,2,1,0,-2,-1,-1
52,1,20142,2,1,0,0,-2,-1,-1
53,1,21476,2,2,2,0,-2,-1,-1
54,1,21476,2,3,2,0,-2,-1,-1
55,1,20142,2,2,1,0,-2,-1,-1
56,0,20142,1,2,1,0,-2,-1,-1
57,0,12809,2,1,0,0,-2,-1,-1
58,0,28642,2,2,3,0,934,0,2
59,0,12142,2,2,1,0,-2,-1,-1
60,0,14142,0,1,0,-180,-2,-1,-1
61,0,16142,2,2,1,0,-2,-1,-1
62,0,13476,0,2,1,-180,-2,-1,-1
63,0,20809,0,2,1,-180,-2,-1,-1
64,0,20809,0,1,0,-180,-2,-1,-1
65,0,8476,0,2,1,-180,-2,-1,-1
66,0,26809,1,1,0,0,-2,-1,-1
67,1,4142,2,3,3,-180,1120,0,3
68,0,2809,2,0,3,-180,1473,0,0
69,0,1476,2,3,3,-180,857,0,3
70,0,22809,2,3,3,0,999,0,3
71,0,31142,2,2,0,0,-2,-1,-1
72,0,32142,0,2,1,-180,-2,-1,-1
73,0,31976,2,1,0,0,-2,-1,-1
74,0,31809,2,2,1,0,-2,-1,-1
75,0,33976,0,1,0,-180,-2,-1,-1
76,0,33809,0,2,1,-180,-2,-1,-1
77,0,35476,1,0,0,90,-2,-1,-1
78,0,33142,2,2,2,0,-2,-1,-1
79,0,35142,1,3,1,-90,-2,-1,-1
80,0,33142,2,3,2,0,-2,-1,-1
81,0,41809,2,1,0,0,-2,-1,-1
82,0,42142,2,1,0,0,-2,-1,-1
83,0,34809,2,1,0,0,-2,-1,-1
84,0,37309,1,1,0,0,-2,-1,-1
